trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,,,,,net_profit_per_share
79,2025-07-06T01:35:55.031453+00:00,same_outcome,0.0906,1130.02,102.36,10.64,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.16,,,,5184.02,0.096687513,5184.02,0.0906
78,2025-07-06T01:35:54.555296+00:00,same_outcome,0.0905,100,9.05,0.95,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,5284.02,0.096570414,5284.02,0.0905
136,2025-07-06T02:03:19.409004+00:00,same_outcome,0.0901,201,18.11,1.99,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,5485.02,0.096333286,5485.02,0.0901
137,2025-07-06T02:03:19.430337+00:00,same_outcome,0.0901,386,34.78,3.82,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,5871.02,0.095923707,5871.02,0.0901
73,2025-07-06T01:35:51.453889+00:00,same_outcome,0.09,12,1.08,0.12,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,5883.02,0.095911624,5883.02,0.09
115,2025-07-06T02:03:14.301230+00:00,same_outcome,0.09,7,0.63,0.07,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,5890.02,0.095904598,5890.02,0.09
132,2025-07-06T02:03:19.352859+00:00,same_outcome,0.09,62,5.58,0.62,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,5952.02,0.095843092,5952.02,0.09
138,2025-07-06T02:03:19.471080+00:00,same_outcome,0.09,7,0.63,0.07,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,5959.02,0.095836228,5959.02,0.09
59,2025-07-06T01:31:02.818196+00:00,same_outcome,0.0886,779,69.02,13.04,Houston vs Los Angeles (LAD),Polymarket,BUY,0.29,Houston vs Los Angeles (LAD),Kalshi,SELL,0.3953,,,,6738.02,0.094999718,6738.02,0.0886
3,2025-07-06T00:34:15.304754+00:00,same_outcome,0.083,10,0.83,0.17,Houston vs Los Angeles (HOU),Kalshi,BUY,0.63,Houston vs Los Angeles (HOU),Polymarket,SELL,0.73,,,,6748.02,0.094981935,6748.02,0.083
4,2025-07-06T00:34:15.362693+00:00,same_outcome,0.083,10,0.83,0.17,Houston vs Los Angeles (LAD),Polymarket,BUY,0.27,Houston vs Los Angeles (LAD),Kalshi,SELL,0.37,,,,6758.02,0.094964205,6758.02,0.083
80,2025-07-06T01:35:55.054000+00:00,same_outcome,0.0811,1130.02,91.61,10.09,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,7888.04,0.092973666,7888.04,0.0811
75,2025-07-06T01:35:51.561861+00:00,same_outcome,0.0808,12,0.97,0.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,7900.04,0.092955226,7900.04,0.0808
122,2025-07-06T02:03:15.770172+00:00,same_outcome,0.0806,299,24.09,2.82,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,8199.04,0.092503513,8199.04,0.0806
123,2025-07-06T02:03:15.771174+00:00,same_outcome,0.0806,386,31.1,3.64,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,8585.04,0.091966956,8585.04,0.0806
135,2025-07-06T02:03:19.391587+00:00,same_outcome,0.0805,100,8.05,0.95,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,8685.04,0.091834925,8685.04,0.0805
