trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b
102,2025-07-06T01:42:34.733999+00:00,same_outcome,0.0220,10.00,0.22,0.18,Texas vs San Diego (TEX),Polymarket,BUY,0.4600,Texas vs San Diego (TEX),Kalshi,SELL,0.5000
103,2025-07-06T01:42:34.816733+00:00,same_outcome,0.0130,10.00,0.13,0.18,Texas vs San Diego (SD),Kalshi,BUY,0.5090,Texas vs San Diego (SD),Polymarket,SELL,0.5400
104,2025-07-06T01:43:29.670056+00:00,same_outcome,0.0528,1656.00,87.38,17.85,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8100,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8735
105,2025-07-06T01:43:29.730765+00:00,same_outcome,0.0534,1410.00,75.28,15.19,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1258,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1900
106,2025-07-06T01:43:29.791918+00:00,same_outcome,0.0414,1728.00,71.56,18.46,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8122,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8642
107,2025-07-06T01:43:29.812000+00:00,same_outcome,0.0470,1666.00,78.23,17.95,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1323,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1900
108,2025-07-06T01:43:31.389798+00:00,same_outcome,0.0197,520.00,10.22,5.38,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8200,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8500
109,2025-07-06T01:43:31.391046+00:00,same_outcome,0.0197,520.00,10.22,5.38,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1500,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1800
110,2025-07-06T01:44:31.068074+00:00,same_outcome,-0.0079,572.00,-4.51,6.32,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1931,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1962
111,2025-07-06T01:44:33.510401+00:00,same_outcome,0.0017,1222.00,2.03,14.24,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7890,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8023
112,2025-07-06T01:44:34.347322+00:00,same_outcome,0.0091,285.00,2.60,3.50,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7735,Houston vs Los Angeles (HOU),Polymarket,SELL,0.7949
113,2025-07-06T01:44:36.575693+00:00,same_outcome,-0.0362,2008.00,-72.77,22.78,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7965,Houston vs Los Angeles (HOU),Polymarket,SELL,0.7716
114,2025-07-06T01:44:36.576143+00:00,same_outcome,0.0356,55.00,1.96,0.66,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2176
115,2025-07-06T01:46:22.328265+00:00,same_outcome,-0.0005,88.00,-0.05,1.19,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2471,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2601
116,2025-07-06T01:52:09.205035+00:00,same_outcome,0.0329,41.00,1.35,0.29,Houston vs Los Angeles (LAD),Kalshi,BUY,0.1100,Houston vs Los Angeles (LAD),Polymarket,SELL,0.1500
117,2025-07-06T01:52:10.023123+00:00,same_outcome,0.0065,1535.00,9.97,9.68,Houston vs Los Angeles (LAD),Kalshi,BUY,0.1000,Houston vs Los Angeles (LAD),Polymarket,SELL,0.1128
118,2025-07-06T01:52:10.122795+00:00,same_outcome,0.0063,1665.00,10.46,10.49,Houston vs Los Angeles (HOU),Polymarket,BUY,0.8874,Houston vs Los Angeles (HOU),Kalshi,SELL,0.9000
119,2025-07-06T02:01:03.676789+00:00,same_outcome,-0.0280,1073.00,-30.03,5.58,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1035,Houston vs Los Angeles (LAD),Kalshi,SELL,0.0807
120,2025-07-06T02:02:26.592926+00:00,same_outcome,-0.0102,1579.00,-16.14,8.39,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0877,Houston vs Los Angeles (LAD),Kalshi,SELL,0.0827
121,2025-07-06T02:03:08.992608+00:00,same_outcome,0.0217,2128.00,46.28,19.00,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1193,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1500
122,2025-07-06T02:03:09.092675+00:00,same_outcome,0.0178,3426.00,60.95,30.58,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8500,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8767
123,2025-07-06T02:03:09.452604+00:00,same_outcome,0.0304,995.00,30.26,9.83,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1297,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1700
124,2025-07-06T02:03:09.612210+00:00,same_outcome,0.0301,1124.00,33.85,11.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8700
125,2025-07-06T02:03:11.313830+00:00,same_outcome,0.0113,1065.00,11.99,5.91,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9132,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
126,2025-07-06T02:03:11.314280+00:00,same_outcome,0.0235,62.00,1.46,0.40,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1000
127,2025-07-06T02:03:11.450234+00:00,same_outcome,0.0237,386.00,9.14,2.44,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9000,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
128,2025-07-06T02:03:11.611079+00:00,same_outcome,0.0237,300.00,7.10,1.89,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9000,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
129,2025-07-06T02:03:11.969815+00:00,same_outcome,0.0200,1.00,0.02,0.01,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1000
130,2025-07-06T02:03:12.550709+00:00,same_outcome,0.0235,62.00,1.46,0.40,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1000
131,2025-07-06T02:03:12.551145+00:00,same_outcome,0.0235,62.00,1.46,0.40,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9000,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
132,2025-07-06T02:03:13.430363+00:00,same_outcome,0.0292,486.00,14.21,3.23,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8941,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
133,2025-07-06T02:03:13.609188+00:00,same_outcome,0.0331,299.00,9.91,2.05,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8900,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
134,2025-07-06T02:03:14.301230+00:00,same_outcome,0.0900,7.00,0.63,0.07,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
135,2025-07-06T02:03:14.349926+00:00,same_outcome,0.0700,3.00,0.21,0.03,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1500
136,2025-07-06T02:03:14.392152+00:00,same_outcome,0.0237,100.00,2.37,0.63,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9000,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
137,2025-07-06T02:03:14.570967+00:00,same_outcome,0.0237,100.00,2.37,0.63,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9000,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
138,2025-07-06T02:03:15.732136+00:00,same_outcome,0.0426,100.00,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8800,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
139,2025-07-06T02:03:15.732523+00:00,same_outcome,0.0426,100.00,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8800,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
140,2025-07-06T02:03:15.733800+00:00,same_outcome,0.0331,100.00,3.31,0.69,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8900,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
141,2025-07-06T02:03:15.770172+00:00,same_outcome,0.0806,299.00,24.09,2.82,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8400,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
142,2025-07-06T02:03:15.771174+00:00,same_outcome,0.0806,386.00,31.10,3.64,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8400,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
143,2025-07-06T02:03:15.892433+00:00,same_outcome,0.0800,5.00,0.40,0.05,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8400,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
144,2025-07-06T02:03:17.410736+00:00,same_outcome,0.0710,100.00,7.10,0.90,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8500,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
145,2025-07-06T02:03:17.412104+00:00,same_outcome,0.0615,100.00,6.15,0.85,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8600,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
146,2025-07-06T02:03:17.591375+00:00,same_outcome,0.0710,100.00,7.10,0.90,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8500,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
147,2025-07-06T02:03:17.710009+00:00,same_outcome,0.0800,1.00,0.08,0.01,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8400,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9300
148,2025-07-06T02:03:18.210127+00:00,same_outcome,0.0331,250.00,8.28,1.72,Houston vs Los Angeles (LAD),Polymarket,BUY,0.0700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1100
