trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,,volume,net_profit_per_share,
140,2025-07-06T01:26:04.906115+00:00,same_outcome,0.0935,304.15,28.44,5.02,Houston vs Los Angeles (LAD),Kalshi,BUY,0.38,Houston vs Los Angeles (LAD),Polymarket,SELL,0.49,,,,3981.68,0.0935,0.0398168
142,2025-07-06T01:26:04.946836+00:00,same_outcome,0.0935,142.86,13.35,2.36,Houston vs Los Angeles (LAD),Kalshi,BUY,0.38,Houston vs Los Angeles (LAD),Polymarket,SELL,0.49,,,,4124.54,0.0935,0.0412454
144,2025-07-06T01:26:04.984668+00:00,same_outcome,0.0935,142.86,13.35,2.36,Houston vs Los Angeles (HOU),Polymarket,BUY,0.51,Houston vs Los Angeles (HOU),Kalshi,SELL,0.62,,,,4267.4,0.0935,0.042674
158,2025-07-06T01:31:02.818196+00:00,same_outcome,0.0932,804,74.93,13.51,Houston vs Los Angeles (LAD),Polymarket,BUY,0.29,Houston vs Los Angeles (LAD),Kalshi,SELL,0.4,,,,5071.4,0.0932,0.050714
159,2025-07-06T01:31:03.033211+00:00,same_outcome,0.0932,1392,129.73,23.39,Houston vs Los Angeles (HOU),Kalshi,BUY,0.6,Houston vs Los Angeles (HOU),Polymarket,SELL,0.71,,,,6463.4,0.0932,0.064634
211,2025-07-06T01:35:55.031453+00:00,same_outcome,0.0906,1130.02,102.36,10.64,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.16,,,,7593.42,0.0906,0.0759342
210,2025-07-06T01:35:54.555296+00:00,same_outcome,0.0905,100,9.05,0.95,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,7693.42,0.0905,0.0769342
342,2025-07-06T02:03:19.409004+00:00,same_outcome,0.0901,201,18.11,1.99,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,7894.42,0.0901,0.0789442
343,2025-07-06T02:03:19.430337+00:00,same_outcome,0.0901,386,34.78,3.82,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,8280.42,0.0901,0.0828042
205,2025-07-06T01:35:51.453889+00:00,same_outcome,0.09,12,1.08,0.12,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,8292.42,0.09,0.0829242
320,2025-07-06T02:03:14.301230+00:00,same_outcome,0.09,7,0.63,0.07,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,8299.42,0.09,0.0829942
338,2025-07-06T02:03:19.352859+00:00,same_outcome,0.09,62,5.58,0.62,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,8361.42,0.09,0.0836142
344,2025-07-06T02:03:19.471080+00:00,same_outcome,0.09,7,0.63,0.07,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,8368.42,0.09,0.0836842
19,2025-07-06T00:34:10.045089+00:00,same_outcome,0.0838,149.45,12.52,2.42,Houston vs Los Angeles (LAD),Polymarket,BUY,0.26,Houston vs Los Angeles (LAD),Kalshi,SELL,0.36,,,,8517.87,0.0838,0.0851787
26,2025-07-06T00:34:15.304754+00:00,same_outcome,0.083,10,0.83,0.17,Houston vs Los Angeles (HOU),Kalshi,BUY,0.63,Houston vs Los Angeles (HOU),Polymarket,SELL,0.73,,,,8527.87,0.083,0.0852787
27,2025-07-06T00:34:15.362693+00:00,same_outcome,0.083,10,0.83,0.17,Houston vs Los Angeles (LAD),Polymarket,BUY,0.27,Houston vs Los Angeles (LAD),Kalshi,SELL,0.37,,,,8537.87,0.083,0.0853787
212,2025-07-06T01:35:55.054000+00:00,same_outcome,0.0811,1130.02,91.61,10.09,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,9667.89,0.0811,0.0966789
197,2025-07-06T01:35:50.649307+00:00,same_outcome,0.081,101,8.18,0.91,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.15,,,,9768.89,0.081,0.0976889
207,2025-07-06T01:35:51.561861+00:00,same_outcome,0.0808,12,0.97,0.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,9780.89,0.0808,0.0978089
328,2025-07-06T02:03:15.770172+00:00,same_outcome,0.0806,299,24.09,2.82,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,10079.89,0.0806,0.1007989
329,2025-07-06T02:03:15.771174+00:00,same_outcome,0.0806,386,31.1,3.64,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,10465.89,0.0806,0.1046589
341,2025-07-06T02:03:19.391587+00:00,same_outcome,0.0805,100,8.05,0.95,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,10565.89,0.0805,0.1056589
202,2025-07-06T01:35:50.649943+00:00,same_outcome,0.08,1,0.08,0.01,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,10566.89,0.08,0.1056689
330,2025-07-06T02:03:15.892433+00:00,same_outcome,0.08,5,0.4,0.05,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,10571.89,0.08,0.1057189
334,2025-07-06T02:03:17.710009+00:00,same_outcome,0.08,1,0.08,0.01,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,10572.89,0.08,0.1057289
