trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,volume,net_profit_per_share,total net,avg_profit per share
138,2025-07-06T01:26:04.947634+00:00,same_outcome,0.0335,100,3.35,1.65,Houston vs Los Angeles (LAD),Kalshi,BUY,0.38,Houston vs Los Angeles (LAD),Polymarket,SELL,0.43,,,27949.11,0.0335,1868.37,0.066848998
140,2025-07-06T01:26:04.985146+00:00,same_outcome,0.0335,100,3.35,1.65,Houston vs Los Angeles (HOU),Polymarket,BUY,0.57,Houston vs Los Angeles (HOU),Kalshi,SELL,0.62,,,28049.11,0.0335,1871.72,0.066730103
141,2025-07-06T01:26:05.048268+00:00,same_outcome,0.0335,100,3.35,1.65,Houston vs Los Angeles (HOU),Polymarket,BUY,0.57,Houston vs Los Angeles (HOU),Kalshi,SELL,0.62,,,28149.11,0.0335,1875.07,0.066612053
142,2025-07-06T01:26:05.048712+00:00,same_outcome,0.0335,100,3.35,1.65,Houston vs Los Angeles (LAD),Kalshi,BUY,0.38,Houston vs Los Angeles (LAD),Polymarket,SELL,0.43,,,28249.11,0.0335,1878.42,0.066494838
25,2025-07-06T00:38:32.831248+00:00,same_outcome,0.0331,100,3.31,1.69,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,28349.11,0.0331,1881.73,0.06637704
31,2025-07-06T00:38:33.030260+00:00,same_outcome,0.0331,62,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,28411.11,0.0331,1883.78,0.066304344
34,2025-07-06T00:38:33.170798+00:00,same_outcome,0.0331,62,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,28473.11,0.0331,1885.83,0.066231964
35,2025-07-06T00:38:33.632425+00:00,same_outcome,0.0331,62,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,28535.11,0.0331,1887.88,0.066159899
36,2025-07-06T00:38:33.830321+00:00,same_outcome,0.0331,100,3.31,1.69,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,28635.11,0.0331,1891.19,0.066044447
37,2025-07-06T00:38:33.874365+00:00,same_outcome,0.0331,62,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,28697.11,0.0331,1893.24,0.065973194
352,2025-07-06T02:03:13.430363+00:00,same_outcome,0.0331,386,12.79,2.65,Houston vs Los Angeles (HOU),Kalshi,BUY,0.89,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,29083.11,0.0331,1906.03,0.065537351
354,2025-07-06T02:03:13.609188+00:00,same_outcome,0.0331,299,9.91,2.05,Houston vs Los Angeles (HOU),Kalshi,BUY,0.89,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,29382.11,0.0331,1915.94,0.065207706
361,2025-07-06T02:03:15.733800+00:00,same_outcome,0.0331,100,3.31,0.69,Houston vs Los Angeles (HOU),Kalshi,BUY,0.89,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,29482.11,0.0331,1919.25,0.065098801
369,2025-07-06T02:03:18.210127+00:00,same_outcome,0.0331,250,8.28,1.72,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.11,,,29732.11,0.0331,1927.53,0.064829909
104,2025-07-06T01:22:16.798850+00:00,same_outcome,0.033,10,0.33,0.17,Chicago vs Colorado (CWS),Polymarket,BUY,0.32,Chicago vs Colorado (CWS),Kalshi,SELL,0.37,,,29742.11,0.033,1927.86,0.064819208
289,2025-07-06T01:52:09.205035+00:00,same_outcome,0.0329,41,1.35,0.29,Houston vs Los Angeles (LAD),Kalshi,BUY,0.11,Houston vs Los Angeles (LAD),Polymarket,SELL,0.15,,,29783.11,0.0329,1929.21,0.064775304
129,2025-07-06T01:25:43.186326+00:00,same_outcome,0.032,5,0.16,0.09,Houston vs Los Angeles (LAD),Polymarket,BUY,0.51,Houston vs Los Angeles (LAD),Kalshi,SELL,0.56,,,29788.11,0.032,1929.37,0.064769802
332,2025-07-06T02:03:08.992608+00:00,same_outcome,0.031,143.84,4.46,1.29,Houston vs Los Angeles (LAD),Polymarket,BUY,0.11,Houston vs Los Angeles (LAD),Kalshi,SELL,0.15,,,29931.95,0.031,1933.83,0.064607551
334,2025-07-06T02:03:09.092675+00:00,same_outcome,0.031,143.84,4.46,1.29,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.89,,,30075.79,0.031,1938.29,0.064446852
544,2025-07-06T02:46:05.120886+00:00,same_outcome,0.0306,2147.55,65.69,20.21,San Francisco vs Oakland (ATH),Kalshi,BUY,0.16,San Francisco vs Oakland (ATH),Polymarket,SELL,0.2,,,32223.34,0.0306,2003.98,0.062190325
545,2025-07-06T02:46:05.219384+00:00,same_outcome,0.0306,2038,62.34,19.18,San Francisco vs Oakland (SF),Polymarket,BUY,0.8,San Francisco vs Oakland (SF),Kalshi,SELL,0.84,,,34261.34,0.0306,2066.32,0.060310542
338,2025-07-06T02:03:09.465920+00:00,same_outcome,0.0301,966.16,29.1,9.55,Houston vs Los Angeles (LAD),Polymarket,BUY,0.13,Houston vs Los Angeles (LAD),Kalshi,SELL,0.17,,,35227.5,0.0301,2095.42,0.059482507
339,2025-07-06T02:03:09.612210+00:00,same_outcome,0.0301,1124,33.85,11.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.87,,,36351.5,0.0301,2129.27,0.058574474
105,2025-07-06T01:22:16.799264+00:00,same_outcome,0.03,1,0.03,0.02,Chicago vs Colorado (COL),Kalshi,BUY,0.63,Chicago vs Colorado (COL),Polymarket,SELL,0.68,,,36352.5,0.03,2129.3,0.058573688
467,2025-07-06T02:19:30.499224+00:00,same_outcome,0.03,10,0.3,0.1,Chicago vs Colorado (CWS),Kalshi,BUY,0.83,Chicago vs Colorado (CWS),Polymarket,SELL,0.87,,,36362.5,0.03,2129.6,0.05856583
470,2025-07-06T02:19:32.721578+00:00,same_outcome,0.03,10,0.3,0.1,Chicago vs Colorado (CWS),Kalshi,BUY,0.83,Chicago vs Colorado (CWS),Polymarket,SELL,0.87,,,36372.5,0.03,2129.9,0.058557976
